Ticker,Train Start,Train End,Test Start,Test End,Return_Predicted_Train,Return_Predicted_Test,Train < Test,Best_C,Best_Kernel,Best_Gamma
CDE,2005-08-10,2006-02-08,2006-02-09,2006-08-09,-0.4805434464883914,0.049465793099413964,1,0.2,linear,scale
ORCL,2005-08-10,2006-02-08,2006-02-09,2006-08-09,-0.15102690273751584,-0.13313929670477032,1,0.2,linear,scale
AMZN,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.3764274755046872,0.114813817819458,0,0.2,linear,scale
ASX,2005-08-10,2006-02-08,2006-02-09,2006-08-09,-0.08335362723166492,-0.053219375074728126,1,0.1,linear,scale
PTEN,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.026177745009525855,0.2100801661743467,1,1.0,linear,scale
FHN,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.003398042237646498,-0.19689580508981014,0,0.7,linear,scale
KMB,2005-08-10,2006-02-08,2006-02-09,2006-08-09,-0.0881233301431208,-0.0530529588417816,1,0.1,linear,scale
OXY,2005-08-10,2006-02-08,2006-02-09,2006-08-09,-0.1919247836315416,-0.04697853423087229,1,0.8,rbf,0.01
ERIC,2005-08-10,2006-02-08,2006-02-09,2006-08-09,-0.07849457116993777,0.24772709418209007,1,0.2,linear,scale
AES,2005-08-10,2006-02-08,2006-02-09,2006-08-09,-0.10406303432224141,-0.13136340106850933,0,0.8,linear,scale
MSTR,2005-08-10,2006-02-08,2006-02-09,2006-08-09,-0.04336879923686628,0.1597121506244602,1,0.1,linear,scale
MRK,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.004214573596763758,0.056013902782520095,1,0.4,linear,scale
NVDA,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.09291703025018513,0.5823959158429478,1,0.8,linear,scale
CAG,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.0677568070516124,0.08261379855696968,1,0.2,linear,scale
MCHP,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.12337199260072869,-0.08013175190339059,0,0.3,linear,scale
FE,2005-08-10,2006-02-08,2006-02-09,2006-08-09,-0.035420146486837695,-0.22128489995352138,0,0.5,linear,scale
BA,2005-08-10,2006-02-08,2006-02-09,2006-08-09,-0.4309457786097519,-0.006108116689364692,1,0.3,linear,scale
NVO,2005-08-10,2006-02-08,2006-02-09,2006-08-09,-0.06866893046695832,0.055938371608664834,1,0.8,linear,scale
EQT,2005-08-10,2006-02-08,2006-02-09,2006-08-09,-0.024938459472582497,0.08254415424103206,1,0.2,linear,scale
INFY,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.03990080548577518,-0.25785745449858066,0,0.4,linear,scale
UMC,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.05149107031024912,-0.04945682206756089,0,0.1,linear,scale
JNJ,2005-08-10,2006-02-08,2006-02-09,2006-08-09,-0.028172860160661596,0.0131402546726205,1,0.8,linear,scale
PBR-A,2005-08-10,2006-02-08,2006-02-09,2006-08-09,-0.06856478205717298,-0.0909200431646511,0,1.0,linear,scale
KEY,2005-08-10,2006-02-08,2006-02-09,2006-08-09,-0.08905219192829439,-0.03451315598732779,1,1.0,linear,scale
CNC,2005-08-10,2006-02-08,2006-02-09,2006-08-09,-0.2916261289071204,-0.28415091084940064,1,0.6,linear,scale
MDLZ,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.0999993914352015,0.14176085647841224,1,1.0,linear,scale
MDT,2005-08-10,2006-02-08,2006-02-09,2006-08-09,-0.04871046759991541,-0.1141808653138836,0,1.0,linear,scale
