Ticker,Train Start,Train End,Test Start,Test End,Return_Predicted_Train,Return_Predicted_Test,Train < Test,Alpha,Trigger_Up,Trigger_Down
CDE,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.16051046389039658,0.19356554729274908,1,0.32263157894736844,0.11888888888888888,-0.99
ORCL,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.065122004336028,-0.004041511046885687,0,0.2705263157894737,0.6633333333333333,-0.3233333333333333
AMZN,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.4582463700750939,0.13746944880387735,0,0.06210526315789474,0.01,-0.3233333333333333
ASX,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.2357761766058246,-0.04724081256538363,0,0.32263157894736844,0.22777777777777777,-0.2122222222222222
PTEN,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.3311093896271648,0.4229561873938197,1,0.06210526315789474,0.6633333333333333,-0.99
FHN,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.11851313968806322,-0.08352869155661719,0,0.06210526315789474,0.01,0.01
KMB,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.06238832397737312,-0.07993660748367577,0,0.6873684210526316,0.01,0.01
OXY,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.2566833483578234,0.2530332029186551,0,0.2705263157894737,0.01,0.01
ERIC,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.16524743924652097,0.1306146902621236,0,0.01,0.5544444444444444,-0.7677777777777777
AES,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.09874844409915011,-0.0167680670061855,0,0.5831578947368421,0.11888888888888888,-0.4344444444444444
MSTR,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.2470522640341173,-0.022068592660269434,0,0.6873684210526316,0.01,0.01
MRK,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.1526324654723165,0.0568254625036701,0,0.4789473684210527,0.11888888888888888,-0.4344444444444444
NVDA,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.5053355612999613,0.16135504149049437,0,0.7394736842105263,0.01,0.01
CAG,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.1132745552302289,0.1079691562348224,0,0.16631578947368422,0.01,0.01
MCHP,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.2472450159535066,-0.06375246382967009,0,0.01,0.33666666666666667,-0.6566666666666666
FE,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.07181301002102164,0.000613193158530213,0,0.6352631578947369,0.01,0.01
BA,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.10273738962494101,0.09113265072326522,0,0.791578947368421,0.01,0.01
NVO,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.011798917992091,0.10507371600420212,1,0.37473684210526315,0.5544444444444444,-0.99
EQT,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.1750156057843322,0.07091323245529867,0,0.21842105263157896,0.22777777777777777,-0.10111111111111111
INFY,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.27944518802005985,-0.0897365565101305,0,0.06210526315789474,0.5544444444444444,-0.3233333333333333
UMC,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.41583300788221517,-0.2876956303778435,0,0.6873684210526316,0.01,0.01
JNJ,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.11238337039489028,-0.0769513901506536,0,0.4789473684210527,0.01,0.01
PBR-A,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.5747224933510261,0.17109034029738734,0,0.7394736842105263,0.01,0.01
KEY,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.08319913532407654,0.09025886645774278,1,0.6352631578947369,0.01,0.01
CNC,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.1752008484572267,0.14975139568250112,0,0.37473684210526315,0.22777777777777777,-0.10111111111111111
MDLZ,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.2763898901317417,0.08670894581823328,0,0.16631578947368422,0.01,0.01
MDT,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.0630804966835615,-0.2412850782233423,0,0.2705263157894737,0.11888888888888888,-0.5455555555555556
GAP,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.15948925568934263,0.0778973050021753,0,0.6873684210526316,0.01,0.01
MSFT,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.15873554212586732,-0.20328782844138302,0,0.32263157894736844,0.01,-0.2122222222222222
