Ticker,Train Start,Train End,Test Start,Test End,Return_Predicted_Train,Return_Predicted_Test,Market_Return_Train,Market_Return_Test,Ratio_Train,Model_train_>_Market_train,Model_test_>_Market_test,Trigger_Up,Trigger_Down,Alpha
CDE,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.08515179603103898,0.03867327782212079,0.3948597588704037,-0.13996333641108816,0.21565073198301404,0,1,0.5555555555555556,-1.6666666666666667,0.075
ORCL,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.018963896535214797,0.0,0.039314956401667926,0.18574941456405133,0.482358325454235,0,0,1.6666666666666667,-1.1111111111111112,0.075
AMZN,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.35579972344088673,0.3690011988278355,-0.1436834398212168,-0.05366853373060246,-2.476275093939866,1,1,0.0,0.0,0.15
ASX,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.073582828037364,0.1965700218913425,0.3307058420712018,0.17270506014382936,0.2225023530776376,0,1,0.0,-1.6666666666666667,0.15
PTEN,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.20574692000680234,0.4297202119746292,-0.09436802018148098,-0.07402844612435955,-2.180261063134804,1,1,0.5555555555555556,-0.5555555555555556,0.075
FHN,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.1655648678786864,-0.04394988557156489,0.0994432416026606,-0.019505122371031622,1.6649182509579084,1,0,0.0,0.0,0.075
KMB,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.0201935247117129,-0.023728726276489698,-0.03807598434437702,0.11464230741860137,-0.5303480674084015,1,0,1.6666666666666667,-1.1111111111111112,0.075
OXY,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.12843444837368695,0.08342305468245809,0.1316449831998357,-0.016996687342790695,0.9756121748956039,0,1,0.0,-1.1111111111111112,0.075
ERIC,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.12542197186007362,-0.053070119082214304,0.050142296270951695,-0.07303772408633095,2.5013208645718277,1,1,0.5555555555555556,-1.1111111111111112,0.15
AES,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.139792849836834,-0.018123090648522206,0.16135144465629284,0.1865076075495376,0.8663873455525454,0,0,0.5555555555555556,-1.6666666666666667,0.15
MSTR,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.2968358736154505,0.0806117890674669,0.4080387759422359,-0.06670555457831973,0.7274697678670424,0,1,0.0,-2.2222222222222223,0.075
MRK,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.10403245800321298,0.0015718396562531024,0.24710648025446877,0.17386046090242857,0.42100254876392146,0,0,0.0,-2.2222222222222223,0.075
NVDA,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.16312397072266943,0.31865714364601005,0.41065792692697345,0.27279650750630424,0.39722591487118053,0,1,0.0,-2.2222222222222223,0.15
CAG,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.08158909032682342,-0.020733294157613397,-0.11165445517224652,0.1880639956977669,-0.7307284801216215,1,0,1.6666666666666667,0.0,0.075
MCHP,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.1760767746049961,-0.1134405241007714,0.17508559835615325,-0.00012647842767108536,1.0056610952479748,1,0,0.0,-0.5555555555555556,0.075
FE,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.0329903707545607,-0.0394031911737093,0.006943590978036518,0.11466787085224242,4.751197306827769,1,0,1.1111111111111112,-1.1111111111111112,0.075
BA,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.009426764742465298,0.0216884966895695,0.20099424689339435,-0.01799800546348539,0.04690066948764546,0,1,1.6666666666666667,-1.1111111111111112,0.075
NVO,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.09204577115307452,-0.00428901918929258,0.22199763897788333,0.17102113753976944,0.41462500041383166,0,0,0.0,-2.2222222222222223,0.075
EQT,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.07848232741053118,0.1257280324628421,0.005565682026318374,-0.026738565345762487,14.10111591704534,1,1,0.0,0.0,0.075
INFY,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.0018561381449680968,-0.1051529894977763,0.004366476602883787,0.2967905386638912,0.4250883066090936,0,0,0.5555555555555556,-2.7777777777777777,0.15
UMC,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.12484266371716166,-0.3822354956371091,-0.06645506650995037,0.0013336373762332324,-1.8786026449686701,1,0,0.5555555555555556,-0.5555555555555556,0.075
JNJ,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.050410430832044814,-0.0884506185712781,-0.06004412863471696,0.0674053302610989,-0.839556372592573,1,0,1.1111111111111112,0.0,0.075
PBR-A,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.2582212410386483,0.19855300396078376,0.34481969788379274,-0.04532193353324153,0.7488587300069821,0,1,0.0,-1.1111111111111112,0.075
KEY,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.03167177280055129,-0.0584041836510138,0.1391148841852669,0.017109986864549297,0.22766631324921538,0,0,1.1111111111111112,-0.5555555555555556,0.075
CNC,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.06695403542944102,-0.05024820663385691,0.01103755912151564,-0.4504689094056426,6.066018282876216,1,1,0.5555555555555556,-3.3333333333333335,0.075
MDLZ,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.235813271759591,0.11395199805848179,0.0037064629172340125,0.1321406920077886,63.62218563232494,1,0,0.0,0.0,0.075
MDT,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.1142283278326383,0.000737846588593603,-0.0704223978576901,-0.12666523682104028,-1.6220454188945883,1,1,1.1111111111111112,0.0,0.075
GAP,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.09629388030064381,-0.17337123828421813,0.033784398783150385,0.004466230725245891,2.850246971056634,1,0,0.0,0.0,0.15
