Ticker,Train Start,Train End,Test Start,Test End,Return_Predicted_Train,Return_Predicted_Test,Train < Test,Trigger_Up,Trigger_Down
CDE,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.2850426584468005,-0.1344473704657579,0,0.8811111111111111,-0.99
AMZN,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.45834219729368725,0.2880938476590072,0,0.01,-0.22777777777777777
PTEN,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.19733358595773975,0.031411648226801425,0,0.8811111111111111,-0.7722222222222221
INTC,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.3104258798397753,-0.17189232004384167,0,0.99,-0.22777777777777777
AAPL,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.44869834637121836,-0.31137461368693586,0,0.11888888888888888,-0.99
QCOM,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.2705942848126353,0.23332543142751952,0,0.33666666666666667,-0.6633333333333333
DVN,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.13662305159370486,-0.09208538880790172,0,0.99,-0.99
HAL,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.46582139849550963,0.17103101815244023,0,0.01,-0.01
WDC,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.181215203495874,0.31872440401603097,1,0.99,-0.99
EXAS,2005-08-10,2006-02-08,2006-02-09,2006-08-09,1.0494497343372207,0.30296822223735886,0,0.01,-0.7722222222222221
BKR,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.3453126332846345,0.20447968489520807,0,0.01,-0.8811111111111111
ITUB,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.27634388759627165,-0.18574900576728423,0,0.01,-0.99
VZ,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.20774124745401318,-0.06721603231023758,0,0.44555555555555554,-0.8811111111111111
LNW,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.402680782213212,0.12343669341699602,0,0.01,-0.8811111111111111
CDE,2006-02-09,2006-08-09,2006-08-10,2007-02-09,0.6250898457296996,-0.2213981179687308,0,0.33666666666666667,-0.01
AMZN,2006-02-09,2006-08-09,2006-08-10,2007-02-09,0.42418166481481157,-0.2740431840178125,0,0.5544444444444444,-0.01
PTEN,2006-02-09,2006-08-09,2006-08-10,2007-02-09,0.9898991137714271,0.04865477027603053,0,0.6633333333333333,-0.01
OXY,2006-02-09,2006-08-09,2006-08-10,2007-02-09,0.29080101964753696,-0.2508088199712236,0,0.7722222222222221,-0.11888888888888888
ERIC,2006-02-09,2006-08-09,2006-08-10,2007-02-09,0.2685439768414509,0.2179706019232986,0,0.22777777777777777,-0.33666666666666667
PBR-A,2006-02-09,2006-08-09,2006-08-10,2007-02-09,0.31631372548723197,-0.07381862408315529,0,0.22777777777777777,-0.22777777777777777
GGB,2006-02-09,2006-08-09,2006-08-10,2007-02-09,0.9175024533753724,0.015853252206925045,0,0.44555555555555554,-0.11888888888888888
CTRA,2006-02-09,2006-08-09,2006-08-10,2007-02-09,0.322297097991702,-0.11109402430150202,0,0.22777777777777777,-0.33666666666666667
