Ticker,Train Start,Train End,Test Start,Test End,Return_Predicted_Train,Return_Predicted_Test,Market_Return_Train,Market_Return_Test,Ratio_Train,Model_train_>_Market_train,Model_test_>_Market_test,Trigger_Up,Trigger_Down
CDE,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.20575789762931448,0.017520542320007625,0.3948597588704037,-0.13996333641108816,0.5210910785589725,0,1,0.5555555555555556,-1.6666666666666667
ORCL,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.0181647206639355,0.013930002335155208,0.039314956401667926,0.18574941456405133,0.46203079760161875,0,0,1.6666666666666667,-1.1111111111111112
AMZN,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.5770857335800954,0.2385944407713318,-0.1436834398212168,-0.05366853373060246,-4.016369139673679,1,1,0.0,-0.5555555555555556
ASX,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.22735197385116757,0.10476942514597212,0.3307058420712018,0.17270506014382936,0.6874749246256682,0,0,0.0,-0.5555555555555556
PTEN,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.19532287502426807,0.5757093799390554,-0.09436802018148098,-0.07402844612435955,-2.0697994368074992,1,1,0.5555555555555556,0.0
FHN,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.16583510288675457,-0.06166727192918524,0.0994432416026606,-0.019505122371031622,1.6676357308360075,1,0,0.0,0.0
KMB,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.004828551521423996,-0.0404699123611953,-0.03807598434437702,0.11464230741860137,-0.1268135704057528,1,0,1.6666666666666667,-1.1111111111111112
OXY,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.0507518452492253,-0.027315304868888203,0.1316449831998357,-0.016996687342790695,0.38552054180586987,0,0,0.0,-1.6666666666666667
ERIC,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.1052297668243396,0.13745395747368205,0.050142296270951695,-0.07303772408633095,2.098622812479791,1,1,0.5555555555555556,0.0
AES,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.0745700520585381,-0.12717582695928586,0.16135144465629284,0.1865076075495376,0.4621591843654423,0,0,0.0,-1.6666666666666667
MSTR,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.30361945229832843,0.11122588879976891,0.4080387759422359,-0.06670555457831973,0.7440946061981873,0,1,0.0,-2.2222222222222223
MRK,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.09528036697027749,-0.02679867588788961,0.24710648025446877,0.17386046090242857,0.38558425045008266,0,0,0.5555555555555556,-2.2222222222222223
NVDA,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.07695934395385381,0.28148276925047716,0.41065792692697345,0.27279650750630424,0.18740498820941878,0,1,0.0,-2.2222222222222223
CAG,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.06672345564141721,0.044547143661692615,-0.11165445517224652,0.1880639956977669,-0.5975888336787333,1,0,0.5555555555555556,0.0
MCHP,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.3612475039848995,-0.00312189661146392,0.17508559835615325,-0.00012647842767108536,2.0632622407358827,1,0,0.0,0.0
FE,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.028366457527258315,-0.1500833015518672,0.006943590978036518,0.11466787085224242,4.085271960428705,1,0,0.5555555555555556,-1.6666666666666667
BA,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.01833190060602201,0.0883802754463795,0.20099424689339435,-0.01799800546348539,0.09120609614137411,0,1,0.0,-1.6666666666666667
NVO,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.12528423045296744,-0.020525094980244588,0.22199763897788333,0.17102113753976944,0.5643493824069407,0,0,0.0,-2.2222222222222223
EQT,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.02595584332196534,0.006364058455104099,0.005565682026318374,-0.026738565345762487,4.6635512412006745,1,1,0.0,0.0
INFY,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.006816260754498395,-0.08941205666114829,0.004366476602883787,0.2967905386638912,1.5610436913818975,1,0,1.6666666666666667,-1.1111111111111112
UMC,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.10353932400055879,-0.0413587784655363,-0.06645506650995037,0.0013336373762332324,-1.5580350669734981,1,0,1.6666666666666667,-1.1111111111111112
JNJ,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.0850365864394045,-0.05324928002381241,-0.06004412863471696,0.0674053302610989,-1.4162348321637084,1,0,0.5555555555555556,0.0
PBR-A,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.25145026916964897,-0.039243877231280914,0.34481969788379274,-0.04532193353324153,0.7292224623849357,0,1,0.0,-1.1111111111111112
KEY,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.0329283481445744,-0.02709865864005221,0.1391148841852669,0.017109986864549297,0.23669895811236066,0,0,0.0,-1.6666666666666667
CNC,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.0140652684485634,0.013750308166877792,0.01103755912151564,-0.4504689094056426,1.2743096814897972,1,1,2.2222222222222223,-1.1111111111111112
MDLZ,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.1577679798410288,0.1127834631826616,0.0037064629172340125,0.1321406920077886,42.5656436780878,1,0,0.0,0.0
MDT,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.1082155639640565,-0.1714730158453012,-0.0704223978576901,-0.12666523682104028,-1.536664005431042,1,0,0.5555555555555556,0.0
GAP,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.0,0.0,0.033784398783150385,0.004466230725245891,0.0,0,0,2.2222222222222223,-2.2222222222222223
MSFT,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.11504630898294711,0.29848841162770096,0.06507073647134928,-0.013692842671027654,1.768019162248181,1,1,0.5555555555555556,-0.5555555555555556
GSK,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.07337708243085089,-0.03443039240216632,0.11740165725906503,0.0400501442537504,0.6250089150695117,0,0,0.0,-1.1111111111111112
TXN,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.16402392680522307,0.03728552321475739,-0.055471579082156504,0.07968832782867512,-2.9569002635078134,1,0,0.5555555555555556,0.0
GGB,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.5167112740279693,0.013777430165538583,0.5996219247275577,-0.07974477367484904,0.8617284537464847,0,1,0.0,-1.6666666666666667
KGC,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.0,0.0747726138968767,0.25130030988023144,0.2753368307345817,0.0,0,0,2.2222222222222223,-2.2222222222222223
PLUG,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.25309049543767825,0.4380528839477445,-0.26236630575943376,0.020261308515876056,-0.9646455733143546,1,1,2.2222222222222223,0.0
INTC,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.4031536798944848,-0.19993581152630313,-0.2134704035475592,0.02335235543718399,-1.8885694372366049,1,0,0.5555555555555556,0.0
ABEV,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.1862606281804523,-0.16537493934736153,0.25075191865477425,0.12363565918292152,0.7428083867900085,0,0,0.5555555555555556,-1.1111111111111112
FCX,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.06098350363303148,0.22089255253620008,0.26419652692128864,0.09212850290526223,0.2308262880806156,0,1,0.5555555555555556,-1.6666666666666667
