Train Start,Train End,Test Start,Test End,Return_Predicted_Train,Market_Return_Train,Return_Predicted_Test,Market_Return_Test
2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.18069472829933542,0.09476168434728542,0.024682057004914163,0.013570907349330849
2006-03-20,2006-09-15,2006-09-18,2007-03-20,0.24193783771340668,0.0973001458599511,-0.011355500520809083,0.10564312357586478
2006-09-18,2007-03-20,2007-03-21,2007-09-18,0.2171720858354187,0.09986421018596348,-0.04690496810808191,0.11122175365908495
2007-03-21,2007-09-18,2007-09-19,2008-03-19,0.2106998085053186,0.15778229399721264,-0.0748914141166514,-0.06950068378628085
2007-09-19,2008-03-19,2008-03-20,2008-09-17,0.07072189219838113,0.14398063860751947,-0.03094583387043253,-0.11052061129097553
2008-03-20,2008-09-17,2008-09-18,2009-03-19,0.1628231206666452,0.10215134940303917,-0.17121277426076098,-0.26893897914152837
2008-09-18,2009-03-19,2009-03-20,2009-09-17,0.28677910760204517,0.12305579825672397,0.10787323697625309,0.42485308270334393
2009-03-20,2009-09-17,2009-09-18,2010-03-19,0.6143792387170225,0.5025953920755303,0.07203548403161698,0.16401944269405075
2009-09-18,2010-03-19,2010-03-22,2010-09-17,0.20224256295462992,0.1133350632450095,0.06485147880103237,0.0008625708223177708
2010-03-22,2010-09-17,2010-09-20,2011-03-18,0.2352436023035435,0.13210181551766284,-0.06757363320381435,0.17027971351585422
2010-09-20,2011-03-18,2011-03-21,2011-09-16,0.20414373899470684,0.12234703801169187,-0.020121074128995105,-0.15376984331860913
2011-03-21,2011-09-16,2011-09-19,2012-03-19,0.15602403850743926,0.1353365094077958,0.034274686675818816,0.1252208139826115
2011-09-19,2012-03-19,2012-03-20,2012-09-17,0.2701711567884977,0.13969530266323502,0.02102899790799575,-0.08269983093464209
2012-03-20,2012-09-17,2012-09-18,2013-03-21,0.20861848679482192,0.08045596455625376,-0.013189113757525213,0.025166043922708964
2012-09-18,2013-03-21,2013-03-22,2013-09-19,0.1966503598584429,0.10977540357694777,0.0231219446197904,0.16117336632154872
2013-03-22,2013-09-19,2013-09-20,2014-03-21,0.24473177853614705,0.12115487577846186,0.08798786477408704,0.15842455321474905
2013-09-20,2014-03-21,2014-03-24,2014-09-19,0.15837938705177773,0.09370059802347043,0.03437124924919245,0.09805174942309354
2014-03-24,2014-09-19,2014-09-22,2015-03-23,0.16204249839021662,0.08608577613088868,-0.05786549576277126,0.11995711184271324
2014-09-22,2015-03-23,2015-03-24,2015-09-21,0.14741932429568672,0.12250586442442427,0.05946175702034815,-0.031489223632313885
2015-03-24,2015-09-21,2015-09-22,2016-03-22,0.18114111229574725,0.11320694576121935,0.020506549199822637,0.05461342127406483
2015-09-22,2016-03-22,2016-03-23,2016-09-20,0.35314519083153195,0.10830252457164453,-0.008290058997397796,0.10298851823088286
2016-03-23,2016-09-20,2016-09-21,2017-03-22,0.21282549047855293,0.1216061402168507,0.002568160616240239,0.15923841918224838
2016-09-21,2017-03-22,2017-03-23,2017-09-20,0.1797289127861447,0.11996459845792858,0.043817074697974655,0.06779199752227381
2017-03-23,2017-09-20,2017-09-21,2018-03-22,0.16332118219978783,0.09888063513828206,0.08124215480485675,0.11089799454377837
2017-09-21,2018-03-22,2018-03-23,2018-09-20,0.20701990617781502,0.07279526815817472,-0.06038374904300799,0.09389159937442676
2018-03-23,2018-09-20,2018-09-21,2019-03-25,0.18099514165035308,0.1777075968735417,-0.1035633309923794,-0.055400363202549485
2018-09-21,2019-03-25,2019-03-26,2019-09-23,0.16546039603433813,0.0990676355717322,0.030368238346739972,0.07122009894610591
2019-03-26,2019-09-23,2019-09-24,2020-03-24,0.17756403023898598,0.0951641439174986,-0.13767937388561233,-0.14146455537475944
2019-09-24,2020-03-24,2020-03-25,2020-09-22,0.06405393717031596,0.0201510531112799,-0.1414093550894644,0.36131181274131935
2020-03-25,2020-09-22,2020-09-23,2021-03-24,0.45874389110073616,0.37638986815553455,0.0465496228658933,0.5856878648737676
2020-09-23,2021-03-24,2021-03-25,2021-09-22,0.2354436954353472,0.20914510872127506,-0.02097748933838551,0.11069567517391313
2021-03-25,2021-09-22,2021-09-23,2022-03-23,0.24054788441743757,0.13745091790708866,0.07737564745291609,0.14389251035030787
2021-09-23,2022-03-23,2022-03-24,2022-09-22,0.2993335965988882,0.21465787394121755,0.049843880678335825,-0.15182320426046403
2022-03-24,2022-09-22,2022-09-23,2023-03-24,0.19328845560995242,0.07029345900266168,-0.017637404538183403,0.045224874023133986
2022-09-23,2023-03-24,2023-03-27,2023-09-25,0.28054541052122267,0.1574653698844654,0.09444693841063641,0.1333837038480802
2023-03-27,2023-09-25,2023-09-26,2024-03-26,0.2166408731571582,0.09719789612898969,0.013793648974373943,0.21783857527632922
2023-09-26,2024-03-26,2024-03-27,2024-09-25,0.22223757171153385,0.14375298861033817,-0.039243513871470855,0.09108944822667742
2024-03-27,2024-09-25,2024-09-26,2025-03-28,0.2276467925227311,0.07956572515965928,0.03885161560353421,-0.009294973222390512
2024-09-26,2025-03-28,2025-03-31,2025-09-29,0.20693941369480442,0.1140941333614461,-0.014566146847304683,0.11699961463139048
