Train Start,Train End,Test Start,Test End,Return_Predicted_Train,Market_Return_Train,Return_Predicted_Test,Market_Return_Test
2005-09-16,2006-03-17,2006-03-20,2006-09-15,-0.036442398973656094,0.14758263200149724,0.027750248392449734,0.03308415889925072
2006-03-20,2006-09-15,2006-09-18,2007-03-20,0.04107865404572447,0.03308415889925072,-0.050590214235058606,0.09781630786684944
2006-09-18,2007-03-20,2007-03-21,2007-09-18,-0.05777039344499992,0.09781630786684944,-0.09748710535127096,0.1079316508718339
2007-03-21,2007-09-18,2007-09-19,2008-03-19,-0.09003110900636961,0.1079316508718339,-0.16252283494004094,-0.08829022931861943
2007-09-19,2008-03-19,2008-03-20,2008-09-17,-0.1895526497077883,-0.08829022931861943,-0.12583885518015384,-0.08968573627689932
2008-03-20,2008-09-17,2008-09-18,2009-03-19,-0.0948630403255877,-0.08968573627689932,-0.2560824306678987,-0.14971126480855462
2008-09-18,2009-03-19,2009-03-20,2009-09-17,-0.26399053427345026,-0.14971126480855462,0.018750646971889023,0.48576385769163216
2009-03-20,2009-09-17,2009-09-18,2010-03-19,-0.03573308295376988,0.48576385769163216,-0.027797454096694162,0.11931944105816508
2009-09-18,2010-03-19,2010-03-22,2010-09-17,-0.024693560607762385,0.11931944105816508,-0.08155933130990398,-0.00412874134629755
2010-03-22,2010-09-17,2010-09-20,2011-03-18,-0.051502594304098245,-0.00412874134629755,-0.06974315903116066,0.159190838776728
2010-09-20,2011-03-18,2011-03-21,2011-09-16,-0.0643743300519376,0.159190838776728,-0.014554161872596037,-0.06352711448629304
2011-03-21,2011-09-16,2011-09-19,2012-03-19,-0.03617475463093845,-0.06352711448629304,-0.02261902132536544,0.1624175639758113
2011-09-19,2012-03-19,2012-03-20,2012-09-17,-0.05047749279382731,0.1624175639758113,-0.011074049765715088,0.008939486459362196
2012-03-20,2012-09-17,2012-09-18,2013-03-21,0.024406196929472438,0.008939486459362196,-0.00356935882211221,0.070377382222721
2012-09-18,2013-03-21,2013-03-22,2013-09-19,-0.006870186138339728,0.070377382222721,-0.004146573364773032,0.12892206886752972
2013-03-22,2013-09-19,2013-09-20,2014-03-21,0.033044271420164126,0.12892206886752972,-0.039154576888513336,0.12178283579535741
2013-09-20,2014-03-21,2014-03-24,2014-09-19,-0.05113032688791135,0.12178283579535741,-0.030993480103206992,0.07789044449553052
2014-03-24,2014-09-19,2014-09-22,2015-03-23,-0.038673670809273586,0.07789044449553052,-0.03344812875643906,0.033286441855551754
2014-09-22,2015-03-23,2015-03-24,2015-09-21,-0.04484839105181748,0.033286441855551754,0.00968507975348359,-0.0909512691297451
2015-03-24,2015-09-21,2015-09-22,2016-03-22,0.0017995001546374254,-0.0909512691297451,0.01868254341821852,0.12595775920726318
2015-09-22,2016-03-22,2016-03-23,2016-09-20,-0.00010552848300869308,0.12595775920726318,-0.09886654232534141,0.14596932625227144
2016-03-23,2016-09-20,2016-09-21,2017-03-22,-0.07538307181041272,0.14596932625227144,-0.01416903357285182,0.10772717987481067
2016-09-21,2017-03-22,2017-03-23,2017-09-20,-0.0439330394524672,0.10772717987481067,-0.04837031232442383,0.09575652741127053
2017-03-23,2017-09-20,2017-09-21,2018-03-22,-0.05821770502304644,0.09575652741127053,0.0684067988370306,0.09340799183596425
2017-09-21,2018-03-22,2018-03-23,2018-09-20,0.06721854661160105,0.09340799183596425,-0.0755376635319891,0.08430821418550498
2018-03-23,2018-09-20,2018-09-21,2019-03-25,-0.0772806728418158,0.08430821418550498,-0.013062275943473738,-0.016293583899546
2018-09-21,2019-03-25,2019-03-26,2019-09-23,-0.014333209066475006,-0.016293583899546,0.005385495563548282,0.0433508600068281
2019-03-26,2019-09-23,2019-09-24,2020-03-24,0.01947146654386684,0.0433508600068281,-0.16641653175514676,-0.2131834191372334
2019-09-24,2020-03-24,2020-03-25,2020-09-22,-0.23045249012519947,-0.2131834191372334,-0.18039400622230004,0.3661191883188951
2020-03-25,2020-09-22,2020-09-23,2021-03-24,-0.1753785354279391,0.3661191883188951,-0.1470179360283309,0.3722053234483033
2020-09-23,2021-03-24,2021-03-25,2021-09-22,-0.09530803914048205,0.3722053234483033,-0.0702511234986672,0.10012401548202415
2021-03-25,2021-09-22,2021-09-23,2022-03-23,-0.06879276440833229,0.10012401548202415,0.0040252268281161015,0.10503458178004889
2021-09-23,2022-03-23,2022-03-24,2022-09-22,0.0056392775429636,0.10503458178004889,-0.04155698538124181,-0.16565708858858533
2022-03-24,2022-09-22,2022-09-23,2023-03-24,-0.0371109521540686,-0.16565708858858533,-0.09118442320963088,0.1256398660096686
2022-09-23,2023-03-24,2023-03-27,2023-09-25,-0.06785237782284896,0.1256398660096686,0.026242326271074957,0.07066487641922935
2023-03-27,2023-09-25,2023-09-26,2024-03-26,0.028197214476314136,0.07066487641922935,0.01477493395907823,0.19194619452186804
2023-09-26,2024-03-26,2024-03-27,2024-09-25,0.01255113731352347,0.19194619452186804,0.01458287744904933,0.07714262024270375
2024-03-27,2024-09-25,2024-09-26,2025-03-28,-0.002615754093011246,0.07714262024270375,-0.01528763310736797,-0.012403521193592337
2024-09-26,2025-03-28,2025-03-31,2025-09-29,-0.01976288863143605,-0.012403521193592337,-0.12667788663609597,0.1917334897945112
