Ticker,Train Start,Train End,Test Start,Test End,Return_Predicted_Train,Return_Predicted_Test,Market_Return_Train,Market_Return_Test,Ratio_Train,Ratio_Test,Model_train_>_Market_train,Model_test_>_Market_test,C
KMB,2005-09-16,2006-03-17,2006-03-20,2006-09-15,-0.13849850317118437,-0.049920316334532616,-0.03807598434437702,0.11464230741860137,3.637424102251411,-0.4354440996398923,0,0,1.12
ERIC,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.0340063433285759,0.2468031868245049,0.050142296270951695,-0.07303772408633095,0.6781967691470956,-3.3791193511558806,0,1,4.45
MCHP,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.27072559621143444,-0.0885015385078488,0.17508559835615325,-0.00012647842767108536,1.5462470857296526,699.7362327906407,1,0,0.01
EQT,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.03121828855033978,0.07576372035783631,0.005565682026318374,-0.026738565345762487,5.609067927833145,-2.833499829856926,1,1,1.12
INFY,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.021761669941139636,0.019847059071956597,0.004366476602883787,0.2967905386638912,4.9838054615401814,0.06687227686335702,1,0,3.34
UMC,2005-09-16,2006-03-17,2006-03-20,2006-09-15,-0.3095017432636143,-0.5270068752641859,-0.06645506650995037,0.0013336373762332324,4.657308456944699,-395.16504610322244,0,0,0.01
MDLZ,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.11060049544026967,0.11270750267051612,0.0037064629172340125,0.1321406920077886,29.839903409260728,0.8529356170154833,1,0,1.12
GAP,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.039264814908905675,-0.356548246026698,0.033784398783150385,0.004466230725245891,1.1622173643204978,-79.83202569703069,1,0,0.01
MSFT,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.111325129622464,-0.15914153240406725,0.06507073647134928,-0.013692842671027654,1.7108324826088388,11.622242088619837,1,0,7.78
GGB,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.359654043792239,0.7131184205159303,0.5996219247275577,-0.07974477367484904,0.5998013564224661,-8.942509805389829,0,1,5.5600000000000005
