Train Start,Train End,Test Start,Test End,Return_Predicted_Train,Market_Return_Train,Return_Predicted_Test,Market_Return_Test
2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.12161554957850275,0.1222454668371678,0.04256662151800647,0.040949316272700355
2006-03-20,2006-09-15,2006-09-18,2007-03-20,0.132615801543073,0.04590562381776337,-0.062304266165314114,0.10136776160689731
2006-09-18,2007-03-20,2007-03-21,2007-09-18,-0.01407755413047279,0.037050813040144404,-0.09612127747081547,0.06932574037640928
2007-03-21,2007-09-18,2007-09-19,2008-03-19,-0.08614780841734668,-0.008832206363201915,-0.1373421071798125,-0.12303136450038858
2007-09-19,2008-03-19,2008-03-20,2008-09-17,-0.2911067631418988,-0.13184084191610732,-0.1336538519682044,-0.036035088854994055
2008-03-20,2008-09-17,2008-09-18,2009-03-19,-0.2337438219465598,-0.06040559550542563,-0.40419449039356864,-0.162686598005415
2008-09-18,2009-03-19,2009-03-20,2009-09-17,-0.546088895698646,-0.09165886536953409,-0.06500729864711285,0.4608700978544264
2009-03-20,2009-09-17,2009-09-18,2010-03-19,0.5404206294814764,0.5786937363529746,0.07618876027578746,0.18642900978816992
2009-09-18,2010-03-19,2010-03-22,2010-09-17,0.06253874114185612,0.05036145538493969,-0.03973293050682941,-0.029259219761381416
2010-03-22,2010-09-17,2010-09-20,2011-03-18,-0.13451279221439258,-0.04797730100329215,-0.05288888812423623,0.19355984861755204
2010-09-20,2011-03-18,2011-03-21,2011-09-16,0.009144776841468657,0.0596396030271151,-0.018847050515619836,-0.0748973207002752
2011-03-21,2011-09-16,2011-09-19,2012-03-19,-0.1667610134893454,-0.08201816644825861,-0.04181603551233272,0.20458562946639247
2011-09-19,2012-03-19,2012-03-20,2012-09-17,0.13221593872528564,0.1273198306235481,0.011681673752891114,-0.05015497219079084
2012-03-20,2012-09-17,2012-09-18,2013-03-21,0.03349960773847532,0.0018734104802261742,-0.00801117858431692,0.08004545173585158
2012-09-18,2013-03-21,2013-03-22,2013-09-19,-0.015418236765262978,0.001038298716090378,-0.011974413624226209,0.1199814109226327
2013-03-22,2013-09-19,2013-09-20,2014-03-21,0.16500876348963714,0.14060393574221222,-0.013472227824793194,0.19370438128637285
2013-09-20,2014-03-21,2014-03-24,2014-09-19,-0.00800694242059596,0.027687900226392687,0.015568137117786726,0.05945539852069687
2014-03-24,2014-09-19,2014-09-22,2015-03-23,0.03546775737081308,0.053669065023831855,-0.10440870757351974,0.0669513206053325
2014-09-22,2015-03-23,2015-03-24,2015-09-21,-0.08747659872173809,-0.021602045456779382,0.03069955035365671,-0.10815629552639398
2015-03-24,2015-09-21,2015-09-22,2016-03-22,-0.13211347702339374,-0.08159558852218435,0.0664424791287624,0.06472783586426147
2015-09-22,2016-03-22,2016-03-23,2016-09-20,0.14833938564645746,0.06652528799152718,-0.10677585435885653,0.1598671257957589
2016-03-23,2016-09-20,2016-09-21,2017-03-22,0.03335974579194186,0.07723933361418814,0.02032290852751532,0.09655651894163121
2016-09-21,2017-03-22,2017-03-23,2017-09-20,-0.022883602705987577,0.03332512743870869,-0.015801074435761776,0.07289777020194281
2017-03-23,2017-09-20,2017-09-21,2018-03-22,-0.0098465562062493,0.00437087608272574,0.09110976367662812,0.07728826048823374
2017-09-21,2018-03-22,2018-03-23,2018-09-20,0.1282088908053355,0.0592809733491773,-0.09788706464443933,0.09450335480505091
2018-03-23,2018-09-20,2018-09-21,2019-03-25,-0.04003547715400801,0.015828431448338193,-0.06091171566943887,0.00906854390562785
2018-09-21,2019-03-25,2019-03-26,2019-09-23,-0.10233672036372818,-0.010904201933863437,0.01767312334055793,0.04784459745287945
2019-03-26,2019-09-23,2019-09-24,2020-03-24,0.02783581795247935,0.0419766572931579,-0.21975617331220715,-0.13180477330700505
2019-09-24,2020-03-24,2020-03-25,2020-09-22,-0.4237559930769839,-0.10407881912268699,-0.18973700590169065,0.3599048960930291
2020-03-25,2020-09-22,2020-09-23,2021-03-24,0.18602646478034798,0.2957273229173862,-0.24103224819757263,0.5362322368207147
2020-09-23,2021-03-24,2021-03-25,2021-09-22,0.20726326337202827,0.3050193321372764,-0.08362739448677389,0.07899483047503982
2021-03-25,2021-09-22,2021-09-23,2022-03-23,-0.09093943992028135,-0.011828709427327984,0.03404431628656643,0.1398835414640753
2021-09-23,2022-03-23,2022-03-24,2022-09-22,-0.006468637791194958,0.014147877719497798,-0.04482208954285128,-0.21989379029910358
2022-03-24,2022-09-22,2022-09-23,2023-03-24,-0.1409068169224583,-0.08304647535387831,-0.1683672047609208,0.05289018744067775
2022-09-23,2023-03-24,2023-03-27,2023-09-25,-0.008595450070359867,0.04000768357156432,-0.01681121525202565,0.09137985085669277
2023-03-27,2023-09-25,2023-09-26,2024-03-26,0.08086715470694736,0.0815851562406231,0.056731143371561515,0.22872350605036784
2023-09-26,2024-03-26,2024-03-27,2024-09-25,0.08581442244009951,0.10919961449616807,-0.028447423858830388,0.10173225890766338
2024-03-27,2024-09-25,2024-09-26,2025-03-28,-0.029270929741096654,0.014708968410014164,0.008610027702269898,-0.010955094925336271
2024-09-26,2025-03-28,2025-03-31,2025-09-29,-0.07027961168636533,-0.02723050332108176,-0.09746115424088973,0.22924346772066917
