Ticker,Train Start,Train End,Test Start,Test End,Return_Predicted_Train,Return_Predicted_Test,Market_Return_Train,Market_Return_Test,Ratio_Train,Ratio_Test,Model_train_>_Market_train,Model_test_>_Market_test,n_estimators
CDE,2005-09-16,2005-12-14,2005-12-15,2006-03-17,-0.2887092522144257,-0.14942869539753323,-0.020456969950737203,0.40259408226372084,14.11300172555719,-0.37116465934451903,0,0,100
ORCL,2005-09-16,2005-12-14,2005-12-15,2006-03-17,-0.1040028259714178,0.017425952930198392,-0.025026122288754105,0.06278006616916838,4.1557707091582925,0.27757143299661524,0,0,100
AMZN,2005-09-16,2005-12-14,2005-12-15,2006-03-17,0.29564611245780437,-0.050459686798551395,0.16228735875899838,-0.3073875096719052,1.8217445568070878,0.16415659456173193,1,1,100
PTEN,2005-09-16,2005-12-14,2005-12-15,2006-03-17,-0.015173503899526812,-0.07350670322344421,0.10868592561005884,-0.2036305209796184,-0.13960872867721624,0.36098077473760226,0,1,100
KMB,2005-09-16,2005-12-14,2005-12-15,2006-03-17,-0.0773938953392654,-0.0432054967668751,-0.047330896668149304,0.015519633036030295,1.635166472376311,-2.7839251525193576,0,0,100
OXY,2005-09-16,2005-12-14,2005-12-15,2006-03-17,0.004092315253849418,-0.05246453595651278,-0.0029686379162238343,0.14654781083939522,-1.378516130742857,-0.35800286374806206,1,0,100
ERIC,2005-09-16,2005-12-14,2005-12-15,2006-03-17,-0.033470116949967404,0.0332782497955524,-0.030784613140693803,0.09105706451780718,1.0872352625319714,0.36546587540217135,0,0,100
MCHP,2005-09-16,2005-12-14,2005-12-15,2006-03-17,0.13970974399088099,0.08022142485080822,0.12156523878051698,0.059844078380375795,1.1492573485017659,1.3405073153756615,1,1,100
CNC,2005-09-16,2005-12-14,2005-12-15,2006-03-17,0.03538168926713448,-0.05451768667547809,-0.07652368967863435,0.10536425335112731,-0.4623625627008045,-0.5174210886665463,1,0,100
MSFT,2005-09-16,2005-12-14,2005-12-15,2006-03-17,0.10033868383940639,-0.042335598540041604,0.0436793992603951,0.027666577812405096,2.2971626336075843,-1.5302072712823642,1,0,100
GGB,2005-09-16,2005-12-14,2005-12-15,2006-03-17,0.1886725356489408,0.29305712947756796,0.1806409869228822,0.42567602825304945,1.0444613864376602,0.6884510990206754,1,0,100
INTC,2005-09-16,2005-12-14,2005-12-15,2006-03-17,0.061322244341115814,0.17376055796934226,0.0798671456779899,-0.29146015242031553,0.7678031288153977,-0.5961726037896311,0,1,100
EQNR,2005-09-16,2005-12-14,2005-12-15,2006-03-17,-0.21939349928315643,-0.04866815576586249,-0.019766439759738186,0.14935190825741068,11.099292636908448,-0.32586229619498436,0,0,100
AMAT,2005-09-16,2005-12-14,2005-12-15,2006-03-17,0.1689079084879004,0.16182369061350022,0.0652753676269295,-0.07121434994213759,2.587620945365876,-2.2723466653137137,1,1,100
QCOM,2005-09-16,2005-12-14,2005-12-15,2006-03-17,0.29141779003882395,-0.2475926267130433,0.07826975259262009,0.1159425093163745,3.723249152908415,-2.13547755842883,1,0,100
TSM,2005-09-16,2005-12-14,2005-12-15,2006-03-17,0.1644096696326401,-0.27670930866816246,0.1254453114700218,-0.0017126986404008933,1.3106083256999985,161.5633376128522,1,0,100
