Ticker,Train Start,Train End,Test Start,Test End,Return_Predicted_Train,Return_Predicted_Test,Market_Return_Train,Market_Return_Test,Ratio_Train,Model_train_>_Market_train,Model_test_>_Market_test,Trigger_Up,Trigger_Down,C
CDE,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.0,0.0,0.3948597588704037,-0.13996333641108816,0.0,0,1,1.1111111111111112,-1.1111111111111112,1.5025
ORCL,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.0,0.0,0.039314956401667926,0.18574941456405133,0.0,0,0,1.1111111111111112,-1.1111111111111112,2.0
AMZN,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.3510852368995401,0.20715745515205788,-0.1436834398212168,-0.05366853373060246,-2.4434634731489604,1,1,0.0,0.0,2.0
ASX,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.3769965167885842,-0.012554436584447815,0.3307058420712018,0.17270506014382936,1.1399753763872604,1,0,0.0,0.0,1.005
PTEN,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.09488758385437514,0.19952333297237526,-0.09436802018148098,-0.07402844612435955,-1.00550571763501,1,1,1.1111111111111112,0.0,1.005
FHN,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.04489345600134043,-0.1591324817030318,0.0994432416026606,-0.019505122371031622,0.4514480348570949,0,0,0.0,0.0,1.5025
KMB,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.0,0.0,-0.03807598434437702,0.11464230741860137,-0.0,1,0,1.1111111111111112,-1.1111111111111112,1.005
OXY,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.04795984425166211,-0.07261117004484247,0.1316449831998357,-0.016996687342790695,0.3643119782153762,0,0,0.0,-1.1111111111111112,1.5025
ERIC,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.0953934963189185,-0.01131705699779425,0.050142296270951695,-0.07303772408633095,1.902455679401775,1,1,0.0,0.0,2.0
AES,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.09320466824589939,0.1423914914382059,0.16135144465629284,0.1865076075495376,0.5776500386745334,0,0,0.0,-1.1111111111111112,0.5075
MSTR,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.21901378793333282,0.12727101887182024,0.4080387759422359,-0.06670555457831973,0.536747487852325,0,1,0.0,-1.1111111111111112,1.5025
