Ticker,Train Start,Train End,Test Start,Test End,Return_Predicted_Train,Return_Predicted_Test,Market_Return_Train,Market_Return_Test,Ratio_Train,Ratio_Test,Model_train_>_Market_train,Model_test_>_Market_test,Trigger_Up,Trigger_Down,C
ASX,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.3769965167885842,-0.012554436584447815,0.3307058420712018,0.17270506014382936,1.1399753763872604,-0.07269292847582137,1,0,0.0,0.0,1.005
ERIC,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.0953934963189185,-0.01131705699779425,0.050142296270951695,-0.07303772408633095,1.902455679401775,0.1549481057818482,1,1,0.0,0.0,2.0
MCHP,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.3217156627466912,-0.23938457328444968,0.17508559835615325,-0.00012647842767108536,1.8374764444775635,1892.6909330892652,1,0,0.0,0.0,1.005
MDLZ,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.13219493306061467,0.049085251660588,0.0037064629172340125,0.1321406920077886,35.66606115117065,0.37146204484607076,1,0,0.0,0.0,2.0
GAP,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.024140411074914693,-0.13440161471848378,0.033784398783150385,0.004466230725245891,0.7145431602871817,-30.09285076983662,0,0,0.0,-1.1111111111111112,2.0
MSFT,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.0990319344400882,-0.00028756438539939873,0.06507073647134928,-0.013692842671027654,1.5219119962426133,0.021001072772701104,1,1,0.0,0.0,1.005
GGB,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.5890563193899453,0.17835871733479783,0.5996219247275577,-0.07974477367484904,0.9823795546795375,-2.2366195189422293,0,1,0.0,-1.1111111111111112,2.0
ABEV,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.17011384794426732,0.1946636766932713,0.25075191865477425,0.12363565918292152,0.6784149403796731,1.5744945914451944,0,1,0.0,-1.1111111111111112,1.5025
HBAN,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.0390824254607227,-0.0326800009754241,0.03255673176259549,0.04294248132333738,1.2004406875270137,-0.7610179935658244,1,0,1.1111111111111112,0.0,1.5025
TU,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.13016015080578147,0.1978394456321903,0.04262264327608359,0.3314325915511197,3.053779418669159,0.5969221213468857,1,0,0.0,0.0,1.005
QCOM,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.1453459840723152,-0.28872423761861077,0.18361363730758312,-0.2792848511635897,0.7915859965719033,1.0337984191254683,0,0,0.0,0.0,0.5075
EXC,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.022965503162857212,0.0016348752673559005,0.009171587055205222,0.08821485500626512,2.5039835553677072,0.0185328793800068,1,0,0.0,-1.1111111111111112,2.0
