Train Start,Train End,Test Start,Test End,Return_Predicted_Train,Market_Return_Train,Return_Predicted_Test,Market_Return_Test
2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.23364231772143818,0.19261134046072728,0.00011598953166860723,0.005208660853434321
2006-03-20,2006-09-15,2006-09-18,2007-03-20,0.19926329041418728,0.10054037464167478,-0.048147701557065783,0.10457823582977226
2006-09-18,2007-03-20,2007-03-21,2007-09-18,0.16945105527937782,0.11763542682023476,-0.03318435897183135,0.11373222491572332
2007-03-21,2007-09-18,2007-09-19,2008-03-19,0.19995938286575785,0.20318414033389268,-0.006121611853210835,-0.056633008145904204
2007-09-19,2008-03-19,2008-03-20,2008-09-17,0.030874622987216573,0.0461218752162314,-0.027609230070479586,-0.08910181171521657
2008-03-20,2008-09-17,2008-09-18,2009-03-19,0.050126140775638116,0.037295204589632876,-0.016288964797325268,-0.21888803475307608
2008-09-18,2009-03-19,2009-03-20,2009-09-17,0.09079560462106934,-0.02954269956712288,0.04012212054204872,0.4279067256863005
2009-03-20,2009-09-17,2009-09-18,2010-03-19,0.6106632967146346,0.5350162945675022,0.17361397324590563,0.1686788076893299
2009-09-18,2010-03-19,2010-03-22,2010-09-17,0.24194007452450542,0.20113601119495686,-0.0015160943205091235,0.030459379301843597
2010-03-22,2010-09-17,2010-09-20,2011-03-18,0.1619407965645445,0.1529672451922693,0.01000301558311607,0.16654527531540234
2010-09-20,2011-03-18,2011-03-21,2011-09-16,0.20093099677674173,0.2167667863372181,0.00423206558411831,-0.1355419179067398
2011-03-21,2011-09-16,2011-09-19,2012-03-19,0.0518907911072632,0.054999913336476504,0.010961522973374502,0.13437657213893028
2011-09-19,2012-03-19,2012-03-20,2012-09-17,0.2591988327754379,0.18549657091761387,0.020320759449871478,-0.09373127887340824
2012-03-20,2012-09-17,2012-09-18,2013-03-21,0.18276723679726356,0.09699562225164789,0.00430230373123174,0.03935994883577836
2012-09-18,2013-03-21,2013-03-22,2013-09-19,0.18087187677030625,0.11911035060292195,0.03909159467894266,0.19591318291430995
2013-03-22,2013-09-19,2013-09-20,2014-03-21,0.2585078177391163,0.15771722120687443,0.10367687203281561,0.1850687113863341
2013-09-20,2014-03-21,2014-03-24,2014-09-19,0.19049444662086717,0.203557689046442,0.009521776892424647,0.07371943470664512
2014-03-24,2014-09-19,2014-09-22,2015-03-23,0.14518689867998674,0.11978694647277922,-0.005038596497257478,0.0910830847843606
2014-09-22,2015-03-23,2015-03-24,2015-09-21,0.15283835635275103,0.13655728876459203,0.05671131751141626,-0.01289598650270978
2015-03-24,2015-09-21,2015-09-22,2016-03-22,0.08564708234763273,0.05484923863452691,0.0076935766193944,0.06236894238626418
2015-09-22,2016-03-22,2016-03-23,2016-09-20,0.3443655029547008,0.1570135403391678,0.030935144062843253,0.16173560250670405
2016-03-23,2016-09-20,2016-09-21,2017-03-22,0.2698111843867735,0.2711989062967926,0.08463017740031327,0.13031851398512004
2016-09-21,2017-03-22,2017-03-23,2017-09-20,0.1637817967680178,0.18244276645669874,0.011475383599271414,0.07349332245726983
2017-03-23,2017-09-20,2017-09-21,2018-03-22,0.13069403299647495,0.12536732747811696,0.06537664721627245,0.07426239763847019
2017-09-21,2018-03-22,2018-03-23,2018-09-20,0.21580648419991183,0.08318959575354387,0.01167386565415462,0.09659430238455129
2018-03-23,2018-09-20,2018-09-21,2019-03-25,0.16810524527285936,0.2088515496052091,-0.003138308437680434,-0.0516086611892068
2018-09-21,2019-03-25,2019-03-26,2019-09-23,0.16206931655409496,0.1188161707384154,0.004248006115433259,0.04410502453174024
2019-03-26,2019-09-23,2019-09-24,2020-03-24,0.19913148057189314,0.12275567879079374,-0.04353399938105741,-0.1495302052997638
2019-09-24,2020-03-24,2020-03-25,2020-09-22,0.042096451065615346,-0.0597056755762745,0.036828819473817616,0.35798554710296676
2020-03-25,2020-09-22,2020-09-23,2021-03-24,0.449712603505826,0.47298824585809335,0.33741949189775094,0.4950224324917885
2020-09-23,2021-03-24,2021-03-25,2021-09-22,0.33796677201094405,0.3772493009900601,0.01189788712279533,0.07569361733779496
2021-03-25,2021-09-22,2021-09-23,2022-03-23,0.19493025370952774,0.16931833711522615,0.08915902287579695,0.14560078238904428
2021-09-23,2022-03-23,2022-03-24,2022-09-22,0.24281181920470846,0.23001068634976854,-0.040906972762517396,-0.136406302658882
2022-03-24,2022-09-22,2022-09-23,2023-03-24,0.09031404546473369,-0.019336175310560748,-0.04315176412653175,0.0675203773363471
2022-09-23,2023-03-24,2023-03-27,2023-09-25,0.24263590307758495,0.19709025541358988,0.05268248417638787,0.13699067291305628
2023-03-27,2023-09-25,2023-09-26,2024-03-26,0.17446347019196423,0.10968133524580323,0.08182528697621494,0.20962719679324135
2023-09-26,2024-03-26,2024-03-27,2024-09-25,0.2302301910181416,0.19002945350782816,0.12930574738725176,0.0888011573862251
2024-03-27,2024-09-25,2024-09-26,2025-03-28,0.23090865117597303,0.10727007692056352,0.03187658285522539,0.015901053226463333
2024-09-26,2025-03-28,2025-03-31,2025-09-29,0.1808946451118716,0.09512084976694539,0.06757356939891718,0.09495181524527238
