Ticker,Train Start,Train End,Test Start,Test End,Return_Predicted_Train,Return_Predicted_Test,Train < Test,Trigger_Up,Trigger_Down
CDE,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.21705811963339983,-0.1344473704657579,0,0.8811111111111111,-0.99
ORCL,2005-08-10,2006-02-08,2006-02-09,2006-08-09,-0.0965714216828561,0.032353257442640046,1,0.44555555555555554,-0.99
AMZN,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.11591766040924568,0.3190425536836535,1,0.01,-0.22777777777777777
ASX,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.08723074766892888,0.43847282136164434,1,0.01,-0.7722222222222221
PTEN,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.15702956247732228,-0.027636485749201543,0,0.8811111111111111,-0.7722222222222221
FHN,2005-08-10,2006-02-08,2006-02-09,2006-08-09,-0.016184732107558088,-0.05274474700480841,0,0.01,-0.01
KMB,2005-08-10,2006-02-08,2006-02-09,2006-08-09,-0.0452627238295136,0.06859404096854271,1,0.99,-0.5544444444444444
OXY,2005-08-10,2006-02-08,2006-02-09,2006-08-09,-0.06896552216108917,0.1293085027287598,1,0.01,-0.6633333333333333
ERIC,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.080322289164226,0.08410834537977328,1,0.99,-0.8811111111111111
AES,2005-08-10,2006-02-08,2006-02-09,2006-08-09,-0.11343578329395572,-0.1069345048180559,1,0.01,-0.8811111111111111
MSTR,2005-08-10,2006-02-08,2006-02-09,2006-08-09,-0.08747134321824576,0.10920275255317469,1,0.01,-0.01
MRK,2005-08-10,2006-02-08,2006-02-09,2006-08-09,-0.0321716220262264,0.19597238810900403,1,0.7722222222222221,-0.99
NVDA,2005-08-10,2006-02-08,2006-02-09,2006-08-09,-0.00286220010499999,0.12969537795042163,1,0.11888888888888888,-0.11888888888888888
CAG,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.017790602275963303,-0.11544232732310669,0,0.11888888888888888,-0.01
MCHP,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.1107268234364632,0.0920272848163343,0,0.5544444444444444,-0.8811111111111111
FE,2005-08-10,2006-02-08,2006-02-09,2006-08-09,-0.0013211895101887944,0.039698740954100184,1,0.8811111111111111,-0.8811111111111111
BA,2005-08-10,2006-02-08,2006-02-09,2006-08-09,-0.2111592718526434,0.059168445430936925,1,0.99,-0.8811111111111111
NVO,2005-08-10,2006-02-08,2006-02-09,2006-08-09,-0.0858732889703079,-0.015146175181254794,1,0.7722222222222221,-0.5544444444444444
EQT,2005-08-10,2006-02-08,2006-02-09,2006-08-09,-0.0367847047675252,-0.013258167414683185,1,0.6633333333333333,-0.7722222222222221
INFY,2005-08-10,2006-02-08,2006-02-09,2006-08-09,-0.076314441203968,-0.14865829528857802,0,0.01,-0.11888888888888888
UMC,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.03436691736303889,-0.006922934016610845,0,0.99,-0.5544444444444444
JNJ,2005-08-10,2006-02-08,2006-02-09,2006-08-09,-0.0715038143846899,-0.05876812452217219,1,0.6633333333333333,-0.01
PBR-A,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.07025392614062864,-0.02889749575679018,0,0.01,-0.99
KEY,2005-08-10,2006-02-08,2006-02-09,2006-08-09,-0.008373024833459098,-0.09607277531310787,0,0.99,-0.8811111111111111
CNC,2005-08-10,2006-02-08,2006-02-09,2006-08-09,-0.1708785881211208,0.4004406904187815,1,0.99,-0.7722222222222221
MDLZ,2005-08-10,2006-02-08,2006-02-09,2006-08-09,-0.021918101239245695,0.010591689072730791,1,0.11888888888888888,-0.22777777777777777
MDT,2005-08-10,2006-02-08,2006-02-09,2006-08-09,-0.024292247143387697,0.012137277251210117,1,0.33666666666666667,-0.33666666666666667
GAP,2005-08-10,2006-02-08,2006-02-09,2006-08-09,-0.1324690348263857,-0.0808650050452974,1,0.7722222222222221,-0.7722222222222221
MSFT,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.04596344984505531,-0.13489498215972645,0,0.22777777777777777,-0.33666666666666667
GSK,2005-08-10,2006-02-08,2006-02-09,2006-08-09,-0.04354444495677141,-0.16440229389985722,0,0.22777777777777777,-0.8811111111111111
TXN,2005-08-10,2006-02-08,2006-02-09,2006-08-09,-0.06408829476120273,0.22991197052546747,1,0.01,-0.11888888888888888
